,title,abstract,paragraph,pub_date
29,A Bank President Who Embraces the Unconventional,Priscilla Sims Brown’s atypical childhood has helped her lead a financial institution from a different perspective as Amalgamated Bank’s chief executive.,"Priscilla Sims Brown, chief executive of Amalgamated Bank, said it was her uncommon upbringing that put her on the path to running the country’s largest union-owned bank.",2023-03-07T10:00:25+0000
30,A New Goal for Abortion Bills: Punish or Protect Doctors,"The legislative calendar is packed with 300 abortion bills. “You can’t go to jail for screwing up an appendectomy,” one lawmaker said.","For the first time since the fight over abortion access was kicked to the states after the Supreme Court overturned Roe v. Wade, newly elected legislatures around the country are coming into session and are putting the polarizing issue at the top of their agendas. Around 300 bills in 40 states have been proposed so far — with a majority seeking to restrict access to abortion, and others trying to strengthen it.",2023-02-16T10:00:26+0000
31,Meet the Queen Bee of Victorian Abortionists,"The notorious Madame Restell lived large and fearlessly in a century not so far, far away.","Jennifer Wright opens her painfully timely biography of Madame Restell, the notorious “abortionist of Fifth Avenue,” with her final arrest, in 1878, at the hands of the anti-vice crusader Anthony Comstock. For Comstock, a Victorian zealot who smeared his sexual obsessions all over American life well into the 20th century, this was the climax of an epic struggle between Satan’s handmaiden and his flaming sword of righteousness. To Restell, a grandmother in her late 60s, it was merely the latest in a long line of tedious interruptions to her business.",2023-02-28T10:00:18+0000
32,Global Declines in Maternal Mortality Have Stalled,"Death rates in the United States have increased in recent years, as they have in Europe, the W.H.O. reported.","Although maternal mortality rates declined worldwide from 2000 to 2020, almost 800 women still die of pregnancy-related complications every day, according to a grim report issued Wednesday by the World Health Organization and other agencies of the United Nations.",2023-02-23T01:06:56+0000
33,Strong Democratic Showing in Wisconsin Court Race Sets Up a Frenzied Finish,"Democratic turnout was high in the Tuesday primary for the State Supreme Court, ahead of a costly general election that will decide the future of abortion rights and gerrymandered maps in the state.","MILWAUKEE — Eight months after the nation’s highest court made abortion illegal in Wisconsin, a liberal State Supreme Court candidate who made reproductive rights the centerpiece of her campaign won more votes than her two conservative opponents combined.",2023-02-22T18:24:08+0000
34,A Farewell to Readers,The debate continues.,"Editor’s Note: The past few years have been a turbulent time. After a pandemic, the 2020 elections and fears of nuclear Armageddon, we’ve been through a lot. I want to thank you for sticking around and reading this newsletter through it all. That’s why it’s bittersweet to tell you that this is the last issue of this newsletter. But the news isn’t all bad: You will continue to receive sharp commentary and analysis on what’s happening in the world from fresh vantage points in our Opinion Today newsletter, sent Monday through Saturday. Sign up here to make sure it lands in your inbox.",2023-02-23T01:51:35+0000
35,Two Starkly Different Judges Advance in Wisconsin Supreme Court Election,"Janet Protasiewicz, a liberal, and Daniel Kelly, a conservative, will face off on April 4 in a race that could tilt the balance of the court, with abortion rights, gerrymandered maps and more in the balance.","MILWAUKEE — The general election for the swing seat on Wisconsin’s Supreme Court, a momentous contest that will determine whether Republicans maintain or lose their iron grip on the state’s politics, will feature a liberal Milwaukee County judge against a conservative former justice of the state’s high court.",2023-02-22T02:35:41+0000
36,Abortion Rights Supporters See Biden Address as Missed Opportunity,"While praising the administration’s actions so far, activists say the State of the Union speech could have done more to address what they view as a national health crisis.","During the midterm campaigns, Democrats spent months focused on the demise of federal abortion rights and the danger they said it posed to all Americans.",2023-02-09T10:00:25+0000
37,What to Watch For in a Consequential Court Election in Wisconsin,"Voters are going to the polls today in the primary election for a swing seat on the state’s Supreme Court, with abortion rights, gerrymandered maps and more at stake.","BELOIT, Wis. — It is a funny thing about American politics that for one night, the nation’s most important campaign of 2023 descended on Cheezhead Brewing, a tavern where about 50 Republicans gathered to discuss the Wisconsin Supreme Court race.",2023-02-21T10:00:20+0000
38,Florida Sports Board Removes Menstruation Questions From Medical Form,"Responding to concerns about student privacy, high school athletics officials voted to remove questions about menstruation history from a medical form.","Florida’s governing body for high school sports voted on Thursday to remove all questions about menstruation from medical forms required for student athletes, after an uproar that reflected anxieties about digital and reproductive privacy.",2023-02-09T22:48:51+0000
39,A Volatile Tool Emerges in the Abortion Battle: State Constitutions,"Many of the legal arguments seeking to overturn abortion bans rely on rights provided by the states, and how they are interpreted by state supreme courts.","When the Supreme Court overturned Roe v. Wade and the constitutional right to abortion in June, it declared that it was sending the issue back to the “people and their elected representatives.” But the fight has largely moved to a different set of supreme courts and constitutions: those in the states.",2023-01-29T08:00:11+0000
40,Sweep in 3 Special Elections Gives Democrats Control of Pennsylvania House,Three Democratic victories flipped the House for the first time in a dozen years by a single seat in the battleground state.,"Democrats swept three special elections in solidly blue House districts in western Pennsylvania on Tuesday, according to The Associated Press, putting the party in the majority by a single seat and breaking a Republican legislative monopoly that has recently focused on election restrictions and anti-abortion bills.",2023-02-08T03:38:40+0000
41,New Lawsuit Challenges State Bans on Abortion Pills,"The case, brought by GenBioPro, a company that makes one of two abortion drugs, argues that it is unconstitutional for a state to bar access to a medication approved by the federal government.","A company that makes an abortion pill filed a lawsuit Wednesday morning challenging the constitutionality of a state ban on the medication, one in what is expected to be a wave of cases arguing that the federal Food and Drug Administration’s approval of the pill takes precedence over such restrictive state laws.",2023-01-25T10:00:28+0000
42,"Suspect in Arson at Planned Parenthood Clinic Cited Ex-Girlfriend’s Abortion, U.S. Says","The man, Tyler W. Massengill, 32, told investigators that he hoped the fire on Jan. 15 would delay others in having an abortion, according to federal authorities.","A man accused of firebombing a Planned Parenthood clinic in Peoria, Ill., earlier this month told investigators that he had done so after recalling an abortion a former girlfriend once had against his wishes, adding that he hoped the fire would delay others in having abortions, according to federal authorities.",2023-01-26T01:47:42+0000
43,"2023’s Biggest, Most Unusual Race Centers on Abortion and Democracy","The election for a swing seat on Wisconsin’s Supreme Court has huge policy stakes for the battleground state. Cash is pouring in, and some of the candidates have shed any pretense of judicial neutrality.","In 10 weeks, Wisconsin will hold an election that carries bigger policy stakes than any other contest in America in 2023.",2023-01-25T10:00:29+0000
44,"Most Abortion Bans Include Exceptions. In Practice, Few Are Granted.",Rape victims and patients with complicated pregnancies are confronting the limits of state abortion laws.,Rape victims and patients with complicated pregnancies are confronting the limits of state abortion laws.,2023-01-21T10:00:02+0000
45,Abortion Rights Activists Rally on 50th Anniversary of Roe v. Wade,"The marquee event of the Women’s March took place in Madison, Wis., where abortion rights demonstrators crowded into the State Capitol to mark the 50th anniversary of the landmark decision.","The marquee event of the Women’s March took place in Madison, Wis., where abortion rights demonstrators crowded into the State Capitol to mark the 50th anniversary of the landmark decision.",2023-01-23T06:42:38+0000
46,Early Abortion Looks Nothing Like What You’ve Been Told,"We are primary care physicians who perform abortions. This fall, we published images of early pregnancy tissue. People were shocked by what they saw. ","Jewel is a student in her early 20s who lives in Texas. When her doctor confirmed she was pregnant, Jewel felt panicked. She knew it wasn’t the right time for her to have a child, and that abortion was illegal in her state.",2023-01-22T11:00:47+0000
47,Anti-Abortion Activists Gather for March for Life,"Thousands of activists convened in Washington, for the first major anti-abortion gathering since the Supreme Court overturned the constitutional right to abortion last summer.","Thousands of activists convened in Washington, for the first major anti-abortion gathering since the Supreme Court overturned the constitutional right to abortion last summer.",2023-01-20T20:32:04+0000
48,"After Dobbs, Republicans Wrestle With What It Means to Be Anti-Abortion","Activists are pushing for tougher abortion restrictions, while politicians fear turning off swing voters who don’t support strict limits like a national ban.","For decades, opposition to abortion was a crucial but relatively clear-cut litmus test for Republican candidates: support overturning a constitutional right to an abortion, back anti-abortion judges and vote against taxpayer funding for the procedure.",2023-01-20T10:00:36+0000
49,Women’s March Holds Nationwide Rallies on 50th Anniversary of Roe,"The annual march, which was started in 2017 as a reaction to the election of President Donald J. Trump, this year focused on abortion rights.","With signs declaring “Abortion Is Health Care” and chants about fighting back, activists in dozens of cities nationwide rallied in support of abortion rights on Sunday, the 50th anniversary of Roe v. Wade, the landmark decision that was overturned by the Supreme Court, eliminating the constitutional right to abortion.",2023-01-22T10:00:20+0000
50,The Father of the Abortion Pill,"The 96-year-old scientist who came up with an idea for an “unpregnancy pill” decades ago has led an eventful life, from his teenage days in the French Resistance to his friendships with famous artists.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.",2023-01-17T08:00:30+0000
51,"‘Will We Keep Marching?’ On Roe’s 50th Anniversary, Abortion Opponents Reach a Crossroads","The March for Life, held each year for a half-century, should be a celebration now that Roe v. Wade has fallen. Instead, anti-abortion activists are split over what comes next.","For the past 20 years, Eric Scheidler, the executive director of the Pro-Life Action League, has traveled to Washington for the March for Life, the anti-abortion rally that marks the anniversary of Roe v. Wade and is held every year to urge its end.",2023-01-19T13:00:10+0000
52,The Next Phase of the Abortion Fight Is Happening Right Now in New York,New York should try to protect doctors sending pills through the mail.,Linda Prine spends a lot of time speaking to frantic women navigating the end of Roe v. Wade.,2023-01-20T10:00:21+0000
53,Does the War Over Abortion Have a Future?,The issue is no longer a political hammer for the right.,"In decades past, as the calendar turned to January, the anniversary of Roe v. Wade would come into view. Abortion opponents would be planning to acknowledge the date with the annual March for Life in Washington, D.C. Supporters of abortion rights would schedule seminars or meet for quiet conversations about whether and when the Supreme Court might actually go so far as to repudiate the decision it issued 50 years ago on Jan. 22, 1973.",2023-01-18T10:00:18+0000
54,"March for Life Kicks Off in Washington, Setting the Stage for New Ideas",The annual anti-abortion gathering to protest Roe v. Wade is the first since the Supreme Court overturned the right to abortion.,"WASHINGTON — Thousands of anti-abortion activists convened on the National Mall on Friday for the March for Life, the rally held every January since 1974 to protest Roe v. Wade.",2023-01-20T18:16:58+0000
55,Supreme Court Says It Hasn’t Identified Person Who Leaked Draft Abortion Opinion,"The leak of the draft opinion overturning Roe v. Wade, published by Politico in May, was an extraordinary breach of the court’s usual secrecy.","WASHINGTON — The Supreme Court announced on Thursday that an internal investigation had failed to identify who leaked a draft of the opinion overturning Roe v. Wade, the 1973 decision that had established a constitutional right to abortion.",2023-01-19T19:39:44+0000
56,"‘We Are on the Right Side of History,’ Harris Says on Roe’s 50th Anniversary",The vice president said the Biden administration was “fighting back” against reproductive health restrictions by directing several federal agencies to explore how to support access to the abortion pill.,"TALLAHASSEE, Fla. — Vice President Kamala Harris on Sunday denounced “extremist” Republicans who are working to further roll back abortion rights in the months since Roe v. Wade was overturned, warning that “no one is immune” from efforts to curb access to reproductive health care.",2023-01-22T20:57:45+0000
57,The Sunday Read: ‘Risking Everything to Offer Abortion Access Across State Lines’,Doctors and midwives in blue states are working to get abortion pills into red states — setting the stage for a historic legal clash.,"In states where abortion is severely limited or illegal, clinicians face imminent prosecution if they continue to provide abortions. What is much less clear is what happens if providers in blue states offer telemedicine abortions to women in states where that’s against the law. These clinicians, too, could be arrested or sued or lose their medical licenses. To protect themselves, they may have to give up traveling to certain parts of the country — and it’s still no guarantee.",2023-01-15T11:00:11+0000
58,"Older Voters Know Exactly What’s at Stake, and They’ll Be Here for Quite a While",There were intriguing hints in the November elections of a gray countercurrent that helped damp the expected red wave.,Is it time to call the next election “the most important in American history”? Probably. It seems like it may involve a judgment on democracy itself. Americans with a lot of history will play a key role in determining its outcome.,2023-01-22T11:00:06+0000
59,"Inside the Supreme Court Inquiry: Seized Phones, Affidavits and Distrust","An investigation of the abortion opinion leak was meant to right the institution amid a slide in public confidence. Instead, employees say, it deepened suspicions and caused disillusionment.","Last spring and summer, employees of the Supreme Court were drawn into an investigation that turned into an uncomfortable awakening.",2023-01-21T16:54:21+0000
60,Supreme Court’s Inquiry Into Leak Included Interviews With Justices,"But the justices were not asked to sign sworn affidavits, unlike law clerks and other employees, the court’s marshal said.","WASHINGTON — The Supreme Court’s internal investigation into who leaked a draft of the opinion last year overturning the landmark decision that had established a constitutional right to abortion included talking to all nine justices, the marshal of the court said on Friday.",2023-01-20T21:48:39+0000
61,Did the Supreme Court’s Leak Investigation Let the Justices Off the Hook?,What may result from the report is increased suspicion of the justices themselves.,Update: This article has been updated to reflect a statement on Friday from the Supreme Court.,2023-01-20T20:32:26+0000
62,House Passes Bill That Could Subject Some Abortion Doctors to Prosecution,"As part of an anti-abortion rights effort, Republicans pushed through a bill laying out criminal penalties for doctors who fail to resuscitate babies born after an attempted abortion.","WASHINGTON — Republicans used their new power in the House on Wednesday to push through legislation that could subject doctors who perform abortions to criminal penalties, underscoring their opposition to abortion rights even as they stopped short of trying to ban the procedure.",2023-01-12T00:15:07+0000
63,Can Trump Count on Evangelicals in 2024? Some Leaders Are Wavering.,"The former president, who relied on evangelical voters in 2016, has accused Christian leaders of “disloyalty” and blamed them for Republicans’ disappointing midterm performance.","On Sunday, the Rev. Robert Jeffress, a longtime supporter of Donald J. Trump who has yet to endorse his 2024 White House bid, shared the stage at his Dallas megachurch with one of the former president’s potential rivals next year: former Vice President Mike Pence.",2023-01-19T16:28:28+0000
64,Kamala Harris to Speak in Florida on 50th Anniversary of Roe v. Wade,She will contrast the Biden administration’s efforts with Republicans across the country who have tried to curtail access to abortion and some forms of contraception since the ruling was overturned.,"WASHINGTON — Kamala Harris, the vice president, will travel to Florida on Sunday to deliver a speech commemorating the 50th anniversary of Roe v. Wade, the landmark Supreme Court ruling that established a constitutional right to abortion but was overturned last summer.",2023-01-19T00:01:51+0000
65,"Arson at Illinois Planned Parenthood Causes Extensive Damage, Authorities Say","The police in Peoria, Ill., said they received a report of someone throwing a “flammable item” into the clinic on Sunday, just two days after a sweeping bill that enshrined the state’s abortion protections was signed.","The authorities in Peoria, Ill., are investigating a reported firebombing that they said caused extensive damage to a Planned Parenthood clinic on Sunday, just days after sweeping abortion protections were signed into law in Illinois.",2023-01-18T02:32:17+0000
66,Choosing Their Battles,"Felicia Kornbluh’s “A Woman’s Life Is a Human Life” is the story of two reproductive rights activists who lived on the same floor of the same New York building but, in an echo of larger patterns in the movement, never joined forces.","A couple of years ago, a social media hashtag popped up like a wart:#maincharacterenergy. It was a call to write one’s own story, view oneself as the protagonist. At first glance, this philosophy may seem harmless, but ultimately the assumption that we are all individually responsible for the narrative is a problem; it invites myopia — to say nothing of the burnout that results from acting alone. Effective action requires collectivity and collaboration, not silos of self-interest.",2023-01-17T10:00:21+0000
67,A Promising New Path to Protect Abortion Access,States can enshrine a constitutional right that the Supreme Court eliminated.,"The new Republican majority will soon wield power in the House of Representatives, and despite the divisions over their choice of a speaker, make no mistake: They are bent on stymieing not only President Biden’s agenda, but also efforts to protect the constitutional rights of Americans that have been whittled away by the Supreme Court and Republican-led states. Among those rights is the freedom of reproductive choice and bodily autonomy for women, which fell with the court’s overturning of Roe v. Wade last June.",2023-01-07T14:00:06+0000
68,A Colossal Off-Year Election in Wisconsin,Arguably the most important election of 2023 is Wisconsin's pivotal Supreme Court race.,Arguably the most important election of 2023 is Wisconsin's pivotal Supreme Court race.,2023-01-16T08:00:01+0000
69,Idaho Supreme Court Upholds Abortion Bans,"The justices found that the state’s Constitution does not include a right to the procedure, bringing an end to a monthslong legal battle.",Idaho’s Supreme Court upheld the state’s prohibition on abortion in a ruling Thursday night that said the State Constitution does not include a right to the procedure.,2023-01-06T23:34:56+0000
70,CVS and Walgreens Plan to Offer Abortion Pills Where Abortion Is Legal,The two chains said they would begin the certification process under a new F.D.A. regulation that will allow retail pharmacies to dispense the prescription pills for the first time.,Two major pharmacy chains will apply to sell abortion pills under a new Food and Drug Administration regulation that will allow the medication to be offered by retail pharmacies for the first time.,2023-01-05T16:39:19+0000
71,"South Carolina Constitution Includes Abortion Right, State Supreme Court Rules","The decision overturns the state’s six-week ban on abortion, a major victory for abortion rights in the South, where the procedure is strictly limited.","The South Carolina Constitution provides a right to privacy that includes the right to abortion, the state’s Supreme Court ruled on Thursday, saying “the decision to terminate a pregnancy rests upon the utmost personal and private considerations imaginable.”",2023-01-05T21:00:51+0000
72,"Abortion Pills Can Now Be Offered at Retail Pharmacies, F.D.A. Says","Mifepristone, the first of two drugs in medication abortions, previously had to be dispensed only by clinics, doctors or a few mail-order pharmacies. Now, if local drugstores or chains like CVS agree to certain rules, they can provide it.","For the first time, retail pharmacies, from corner drugstores to major chains like CVS and Walgreens, will be allowed to offer abortion pills in the United States under a regulatory change made Tuesday by the Food and Drug Administration. The action could significantly expand access to abortion through medication.",2023-01-03T23:30:08+0000
73,Why Left-Leaning Democrats May Torpedo Hochul’s Choice of Top Judge,"Gov. Kathy Hochul has not given up on her nomination of Hector LaSalle to lead the state Court of Appeals, but the Legislature could refuse to approve him.","Allegations of racism and racial pandering. Complaints about left-wing insurgents and right-wing courts. And dire forecasts about the fate of abortion access, organized labor and legal protections for criminal defendants.",2023-01-11T10:00:15+0000
74,"Arizona Doctors Cannot Be Prosecuted Under 1864 Abortion Ban, Court Says",The old law prohibited most abortions; the appeals court backed the state’s newer law that allows abortions at up to 15 weeks.,"PHOENIX —  Arizona cannot prosecute doctors under an 1864 ban on abortions that would have outlawed the procedure in nearly every circumstance, a state appeals court ruled on Friday.",2022-12-31T03:44:40+0000
75,"New Year, New (State) Rules","State laws take effect for bouncers in Tennessee, walkers in California, and governors in North Carolina. Here’s a roundup of several key changes across the nation.","Change is in the air, but unlike New Year’s resolutions, Americans will have to abide by new laws in 2023 that were passed by state legislatures and approved by governors, or ballot measures passed by voters.",2023-01-03T10:00:04+0000
76,The Question of Life Itself,"How people regard the start of life is complicated, polarizing and worthy of exploration.","This past year, I’ve reported frequently on the topic of abortion when it intersects with my beat as the national religion correspondent for The Times. In the months since the Supreme Court overturned Roe v. Wade, one question has come up over and over: When does life begin?",2023-01-02T11:44:47+0000
